version,program_code,degree_type_code
0,"MATH","BS"
0,"PSY","BS"
0,"BHS","BS"
0,"BUS","BS"
0,"CE","BS"
0,"COMM","BS"
0,"CET","BS"
0,"CM","BS"
0,"CYB","BS"
0,"STAT","BS"
0,"DHE","BS"
0,"DMS","BS"
0,"ECHO","BS"
0,"EE","BS"
0,"EET","BS"
0,"ESET","BS"
0,"EMS","BS"
0,"GIS","BS"
0,"GME","BS"
0,"HCM","BS"
0,"HI","BS"
0,"IT","BS"
0,"MFG","BS"
0,"MKT","BS"
0,"MECH","BS"
0,"MET","BS"
0,"MLS","BS"
0,"NMT","BS"
0,"NRS","BS"
0,"OM","BS"
0,"PHM","BS"
0,"PWR","BS"
0,"RDSC","BS"
0,"RCP","BS"
0,"SET","BS"
0,"TAM","BS"
0,"VT","BS"
0,"ABA","CERT"
0,"BME","CERT"
0,"BSM","CERT"
0,"CCSH","CERT"
0,"CC","CERT"
0,"ETH","CERT"
0,"GIS","CERT"
0,"HCOMM","CERT"
0,"MIS","CERT"
0,"PACS","CERT"
0,"PT","CERT"
0,"PGW","CERT"
0,"SDH","CERT"
0,"TIGME","CERT"
0,"TMW","CERT"
0,"UXRD","CERT"
0,"UX","CERT"
0,"AH","MS"
0,"ABA","MS"
0,"BMS","MS"
0,"CE","MS"
0,"E","MS"
0,"REE","MS"
0,"MFT","MS"
0,"NR","MS"
0,"CCSH","AAS"
0,"EMS","AAS"
